12.39,0.00,13.02,3.87,1.70,0.81,5.33,2.43,3.47,1.30,0.00,4.55,3.84,2.61,
15.95,0.00,16.34,4.42,2.24,1.09,11.88,4.57,5.74,2.44,0.00,7.10,5.08,4.17,
19.66,-1.00,20.74,5.21,2.75,1.53,16.77,7.35,8.71,5.32,1.00,10.33,6.55,6.89,
24.24,-1.28,25.14,5.83,3.22,2.02,21.96,10.86,12.29,8.42,1.37,14.06,8.01,10.57,
29.08,-1.43,29.56,6.20,3.69,2.57,27.32,15.14,16.46,12.38,1.58,18.13,9.40,15.24,
33.92,-1.50,33.75,6.73,4.16,3.14,32.69,19.84,20.81,16.88,1.68,22.30,10.64,20.58,
38.76,-1.54,37.75,7.37,4.64,3.76,38.36,24.97,25.46,21.85,1.71,26.70,11.76,26.60,
43.86,-1.55,41.74,7.98,5.11,4.42,44.22,30.74,30.69,27.80,1.72,31.43,12.87,33.59,
49.23,-1.55,45.70,8.56,5.55,5.10,50.18,37.13,36.54,34.81,1.71,36.48,13.96,41.58,
54.88,-1.55,49.60,9.11,5.98,5.81,56.09,44.10,43.03,42.94,1.70,41.82,15.01,50.57,
60.63,-1.55,54.19,9.85,6.57,6.65,63.04,51.60,49.08,50.85,1.66,47.49,16.28,60.04,
66.27,-1.54,59.59,10.81,7.37,7.64,71.50,59.57,54.19,57.94,1.62,53.38,17.81,69.86,
72.90,-1.53,65.61,11.93,8.27,8.73,79.65,68.03,59.84,65.11,1.59,59.89,19.50,79.66,
79.26,-1.53,71.45,13.00,9.17,9.85,88.00,76.71,65.29,72.35,1.56,66.35,21.13,89.89,
85.51,-1.52,77.20,14.06,10.09,11.00,96.44,85.57,70.59,79.58,1.54,72.80,22.73,100.41,
91.75,-1.51,82.91,15.12,11.02,12.18,104.89,94.53,75.78,86.71,1.53,79.25,24.32,111.08,
98.03,-1.51,88.61,16.18,11.97,13.39,113.27,103.55,80.88,93.66,1.51,85.70,25.89,121.78,
104.37,-1.50,94.30,17.25,12.95,14.62,121.54,112.57,85.87,100.38,1.50,92.13,27.46,132.38,
110.80,-1.50,100.00,18.34,13.95,15.87,129.63,121.53,90.76,106.83,1.49,98.55,29.02,142.78,
117.33,-1.49,105.71,19.43,14.97,17.13,137.52,130.39,95.54,112.96,1.48,104.93,30.58,152.90,
123.85,-1.49,111.50,20.55,16.00,18.45,145.44,139.91,100.76,119.43,1.48,111.79,32.15,163.51,
130.34,-1.49,117.39,21.70,17.03,19.83,153.46,150.38,106.58,126.48,1.48,119.33,33.72,174.88,
136.88,-1.48,123.33,22.87,18.07,21.24,161.33,161.16,112.61,134.45,1.48,127.14,35.30,186.26,
143.49,-1.48,129.31,24.05,19.13,22.69,169.03,172.15,118.76,142.62,1.47,135.16,36.88,197.47,
150.19,-1.48,135.34,25.26,20.21,24.16,176.53,183.29,125.02,150.87,1.47,143.37,38.47,208.38,
156.98,-1.47,141.42,26.50,21.31,25.66,183.84,194.53,131.38,159.15,1.47,151.75,40.06,218.92,
163.93,-1.47,147.59,27.77,22.43,27.20,190.99,205.94,137.85,167.55,1.47,160.31,41.67,229.03,
171.40,-1.47,154.26,29.14,23.62,28.83,198.48,218.10,144.87,176.50,1.46,169.45,43.41,239.52,
179.22,-1.47,161.26,30.59,24.87,30.53,206.15,230.75,152.23,185.82,1.46,179.00,45.23,250.01,
187.36,-1.47,168.55,32.11,26.16,32.30,213.97,243.81,159.91,195.47,1.46,188.93,47.13,260.43,
195.46,-1.47,175.71,33.62,27.45,34.06,221.39,256.78,167.58,205.02,1.46,198.78,49.00,270.25,
203.39,-1.47,182.60,35.09,28.71,35.78,228.26,269.44,175.14,214.31,1.46,208.38,50.78,279.29,
211.40,-1.47,189.53,36.58,29.98,37.53,235.03,282.12,182.78,223.61,1.45,218.06,52.58,287.95,
219.51,-1.46,196.52,38.08,31.27,39.30,241.74,294.83,190.53,232.92,1.45,227.85,54.39,296.24,
227.75,-1.46,203.59,39.62,32.59,41.10,248.41,307.59,198.39,242.26,1.45,237.77,56.21,304.20,
236.12,-1.46,210.76,41.18,33.92,42.92,255.05,320.40,206.37,251.63,1.44,247.85,58.07,311.85,
244.62,-1.46,218.03,42.77,35.29,44.78,261.69,333.28,214.48,261.03,1.44,258.09,59.94,319.19,
253.28,-1.46,225.40,44.40,36.68,46.68,268.33,346.22,222.73,270.47,1.44,268.51,61.84,326.26,
262.09,-1.46,232.90,46.06,38.10,48.61,274.97,359.25,231.12,279.96,1.44,279.12,63.77,333.05,
271.07,-1.46,240.52,47.75,39.55,50.58,281.63,372.36,239.67,289.51,1.44,289.94,65.73,339.60,
280.22,-1.46,248.27,49.49,41.04,52.59,288.32,385.58,248.39,299.13,1.44,300.97,67.72,345.90,
289.56,-1.45,256.17,51.27,42.56,54.65,295.03,398.91,257.29,308.83,1.43,312.23,69.74,351.99,
299.09,-1.45,264.22,53.09,44.12,56.76,301.79,412.36,266.37,318.62,1.43,323.74,71.81,357.87,
308.82,-1.45,272.44,54.95,45.73,58.92,308.59,425.96,275.66,328.52,1.43,335.51,73.91,363.56,
318.76,-1.45,280.82,56.87,47.37,61.13,315.45,439.72,285.15,338.55,1.43,347.55,76.05,369.07,
328.93,-1.45,289.38,58.83,49.05,63.40,322.38,453.64,294.88,348.70,1.43,359.88,78.23,374.42,
339.32,-1.45,298.13,60.85,50.79,65.72,329.37,467.74,304.83,359.00,1.43,372.52,80.46,379.62,
349.95,-1.45,307.07,62.92,52.57,68.12,336.45,482.04,315.04,369.45,1.43,385.47,82.73,384.68,
360.83,-1.45,316.23,65.05,54.40,70.58,343.61,496.54,325.51,380.07,1.43,398.76,85.06,389.61,
371.97,-1.45,325.59,67.24,56.28,73.10,350.87,511.27,336.25,390.88,1.42,412.40,87.43,394.44,
383.38,-1.45,335.19,69.49,58.22,75.70,358.23,526.22,347.28,401.87,1.42,426.40,89.86,399.16,
395.06,-1.45,345.01,71.81,60.21,78.38,365.70,541.42,358.60,413.07,1.42,440.78,92.35,403.79,
407.03,-1.45,355.08,74.19,62.26,81.14,373.28,556.87,370.23,424.49,1.42,455.56,94.89,408.34,
419.29,-1.44,365.40,76.65,64.38,83.98,380.98,572.58,382.18,436.13,1.42,470.75,97.49,412.81,
431.85,-1.44,375.97,79.18,66.56,86.90,388.81,588.58,394.47,448.01,1.42,486.36,100.16,417.22,
444.72,-1.44,386.82,81.78,68.80,89.92,396.77,604.85,407.11,460.13,1.42,502.42,102.88,421.57,
457.92,-1.44,397.94,84.46,71.12,93.03,404.87,621.43,420.11,472.51,1.42,518.94,105.68,425.87,
471.45,-1.44,409.36,87.23,73.50,96.23,413.12,638.32,433.48,485.17,1.42,535.94,108.54,430.13,
485.31,-1.44,421.06,90.07,75.96,99.54,421.52,655.52,447.23,498.09,1.42,553.42,111.47,434.36,
499.53,-1.44,433.08,93.01,78.49,102.95,430.07,673.05,461.39,511.31,1.42,571.42,114.47,438.56,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
With Redistribution,,,,,,,,,,,,,,
t,,REDIST,Ygross,TFP,labour,Kapital,savings rate,Investment,Ynet,,Y,Abatecost,DamagesOLD,Damages
1,,0,12.4,11.3,296.8,22.9,0.18,2.2,12.4,,12.4,0.0,0.0,0.0
2,,0,16.0,12.6,325.9,30.1,0.20,3.3,16.0,,16.0,0.0,0.0,0.0
3,,1,20.7,13.9,351.8,43.1,0.20,3.9,20.7,,19.7,0.0,0.0,0.0
4,,1,25.3,15.2,372.6,54.5,0.20,4.8,25.2,,24.2,0.0,0.1,0.0
5,,1,30.2,16.6,389.1,67.1,0.20,5.7,30.1,,29.1,0.0,0.1,0.1
6,,1,35.2,17.9,398.8,80.8,0.20,6.7,34.9,,33.9,0.0,0.2,0.1
7,,1,40.1,19.3,404.2,95.2,0.20,,39.8,,38.8,0.0,0.4,0.2
,,,,,,,,,,,,,,
Without redistribution,,,,,,,,,,,,,,
t,,REDIST,Ygross,TFP,labour,Kapital,savings rate,Investment,Ynet,,Y,Abatecost,DamagesOLD,Damages
1,,0,12.4,11.3,296.8,22.9,0.2,2.2,12.4,,12.4,0.0,0.0,0.0
2,,0,16.0,12.6,325.9,30.1,0.2,3.3,16.0,,16.0,0.0,0.0,0.0
3,,0,20.7,13.9,351.8,43.1,0.2,4.1,20.7,,20.7,0.0,0.0,0.0
4,,0,25.6,15.2,372.6,56.5,0.2,5.1,25.5,,25.5,0.0,0.1,0.0
5,,0,30.7,16.6,389.1,70.4,0.2,6.0,30.5,,30.5,0.0,0.1,0.1
6,,0,35.7,17.9,398.8,84.7,0.2,7.0,35.4,,35.4,0.0,0.2,0.1
7,,0,40.6,19.3,404.2,99.5,0.2,,40.3,,40.3,0.0,0.4,0.2
,,,,,,,,,,,,,,
Difference,,,,,,,,,,,,,,
t,,REDIST,Ygross,TFP,labour,Kapital,savings rate,Investment,Ynet,,Y,Abatecost,DamagesOLD,Damages
1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
3,,,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,,-1.0,0.0,0.0,0.0
4,,,-0.3,0.0,0.0,-2.0,0.0,-0.3,-0.3,,-1.28,0.0,0.0,0.0
5,,,-0.4,0.0,0.0,-3.2,0.0,-0.282,-0.4,,-1.4,0.0,0.0,0.0
6,,,-0.5,0.0,0.0,-3.9,0.0,-0.3,-0.5,,-1.5,0.0,0.0,0.0
7,,,-0.5,0.0,0.0,-4.4,0.0,0.0,-0.5,,-1.5,0.0,0.0,0.0
,,,,,,,,,,,,,,
%change,,,,,,,,,,,,,,
t,,REDIST,Ygross,TFP,labour,Kapital,savings rate,Investment,Ynet,,Y,Abatecost,DamagesOLD,Damages
1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,#DIV/0!,0.0,0.0
2,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,#DIV/0!,0.0,0.0
3,,0,0.0,0.0,0.0,0.0,0.0,-4.8,0.0,,-4.8,#DIV/0!,0.0,0.0
4,,0,-1.1,0.0,0.0,-3.6,0.0,-5.0,-1.1,,-5.0,#DIV/0!,0.0,0.0
5,,0,-1.4,0.0,0.0,-4.6,0.0,-4.7,-1.4,,-4.7,#DIV/0!,0.0,0.0
6,,0,-1.4,0.0,0.0,-4.7,0.0,-4.3,-1.4,,-4.3,#DIV/0!,0.0,0.0
7,,0,-1.3,0.0,0.0,-4.4,0.0,#DIV/0!,-1.3,,-3.8,#DIV/0!,0.0,0.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,capital elasticity,,0.3,,,,,,,,,,
,,dk,,0.1,,,,,,,,,,
